song,artist
I'm Beginning to See the Light (feat. Duke Ellington and His Orchestra),Ella Fitzgerald
It's My Party,Lesley Gore
It's a Good Day,Peggy Lee
Pineapple Princess,Annette Funicello
A Guy Is a Guy,Doris Day
Nobody Taught Me,Eartha Kitt
My Heart Belongs to Daddy,Eartha Kitt
Stormy Weather,Etta James
I Never Loved a Man (the Way I Love You),Aretha Franklin
Ac-Cent-Tchu-Ate the Positive,Aretha Franklin
Hey! Baby (Remastered),Bruce Channel
My Mistakes Were Made for You,The Last Shadow Puppets
Shivers (Acoustic Version),Ed Sheeran
If I Could Be With You One Hour Tonight,Count Basie & His Orchestra
Jeanie Jeanie Jeanie,Eddie Cochran
That's How Strong My Love Is,Otis Redding
Embraceable You / I Got It Bad (And That Ain't Good),Louis Prima & Keely Smith
More,Bobby Darin
Shake Rattle And Roll,Sam Cooke
Perfect Heaven Space,Travis
When Sunny Gets Blue,Nat King Cole
I Love The Way You Say Goodnight (with The Page Cavanaugh Trio),Doris Day
Roadhouse Blues,The Doors
Sunny,Marvin Gaye
Is You Is Or Is You Ain't My Baby? (feat. Quincy Jones And His Orchestra),Dinah Washington
Winter Weather (feat. Benny Goodman & His Orchestra),Peggy Lee
This Will Be Our Year (Demo Version),The Zombies
Sunday Morning,Margo Guryan
On a Slow Boat to China,Kay Starr
Betcha Nickel,Mint Julep Jazz Band
In These Shoes?,Kirsty MacColl
I Will Follow You,Ricky Nelson
Dancing in the Street,Martha Reeves & The Vandellas
Gumbo Blues,Smiley Lewis
Unchained Melody,The Righteous Brothers
I Can't Give You Anything but Love,Louis Armstrong
C'Est Si Bon,Louis Armstrong And His Orchestra
La Vie En Rose (Single Version),Louis Armstrong And His Orchestra
Take The Rain Away,Debelah Morgan
On The Sunny Side Of The Street,Illinois Jacquet
Where Did Our Love Go (Stereo Version),The Supremes
Reet Petite,Jackie Wilson
What Am I Living For,Chuck Willis
I'll Wait for You,Ruth Brown
My Man's an Undertaker,Dinah Washington
Good Times,Sam Cooke
Come Easy Go Easy,Rosetta Howard
You Stole My Cherry,Lil Johnson
If You See My Rooster (Please Run Him Home),Memphis Minnie Unknown & Black Bob
Trouble In Mind (C-2509),Bertha Chippie Hill
